Log_NR;NAME;Code_grafana;NORD_CHTOPO;OST_CHTOPO;LV_03_E;LV_03_N;Start
45;Zytglogge;c454534c7d32;46.94819;7.4474;2600667.7;1199678.8;16.03.2024
151b;Ostermundigen BaereTower 2;75a4a50dfb2c;46.95563;7.48114;2603235.7;1200506.4;21.03.2024
135;Optingenstrasse Süd;cad06aabf023;46.95439;7.44938;2600818;1200367;21.03.2024
136;Optingenstrasse Nord;a3841c1842b4;46.95672;7.45081;2600927;1200627;21.03.2024
134;Vorplatz Baerenplatz;5e37031f7f2b;46.94823;7.45974;2601607;1199683;16.03.2024
