Log_NR,STANDORT,STANDORT_NEU,Code_grafana,NORD_CHTOPO,OST_CHTOPO,LV_03_N,LV_03_E,HuM,Art,ZUSTAENDIG,BEFESTIGUNG,Doppel_Messnetz_23,Start,End,Quali
57,Eigerplatz,Eigerplatz,ac6956757b85,4694067,743141,25994503,11988424,5261,Hauptnetz,BERNMOBIL,Masten,ja,2023-05-10,NA,1
58,Murifeld,Murifeld,e96f9159cdca,4693919,747992,26031439,11986782,553,Hauptnetz,ewb,Lampe,ja,2023-05-10,NA,1
59,Schlossmatte Familiengarten,Schlossmatte Familiengarten,0e93f9aa1539,4694211,741688,25983441,11990026,5484,Hauptnetz,Stadtgrun,Fahnenmasten,ja,2023-05-12,NA,1
61,Westside Center,Westside Center,1b0dc4db66c0,4694555,737478,2595139,11993874,5542,Hauptnetz,ewb,Parklaterne,nein,2023-05-12,NA,1
62,Felsenhaldenweg,Felsenhaldenweg,6cf62e6cfad9,4697417,744122,26001972,1202567,4925,Hauptnetz,ewb,Strassenlampe,nein,2023-05-09,NA,1
65,Umland Bolligen,Ostermundigen Rorswil,4eb78fa39636,4696681,750376,26049568,12017499,5571,Hauptnetz,BKW,Stromleitungsmasten BKW FMB94,nein,2023-05-11,NA,1
68,Gleisfeld Welle,Gleisfeld Welle,noch nicht installiert,4694838,743359,25996164,11997001,5401,Hauptnetz,SBB,Lichtmasten,nein,NA,NA,1
69,Eisenbahnquartier,Eisenbahnquartier,15c44cc1729a,4693716,742317,25988227,11984528,5611,Hauptnetz,ewb,Strassenlampe,nein,2023-05-09,NA,1
70,Bundesplatz,Bundesplatz,44dd6ed61b66,4694692,744353,26003731,11995371,5426,Hauptnetz,TAB,Verkehrsschild,nein,2023-05-12,NA,1
71,Hirschengraben,Hirschengraben,83b8067d27a2,4694658,743786,25999412,11994998,5403,Hauptnetz,ewb,Laternenpfosten,ja,2023-05-12,NA,1
73,"Obstberg, Wattenwylweg 32",Obstberg,64520be86594,4694714,746407,26019368,11995618,5618,Hauptnetz,ewb,Strassenlampe,nein,2023-05-10,NA,1
76,"Wabern, Viktoriastrasse 9",Wabern Viktoriastrasse,cbb89f9d130c,4693122,745326,2601114,11977919,5336,Hauptnetz,Gemeinde Koniz,Strassenlampe (Gmd Koniz 119),ja,2023-05-24,NA,1
78,Dalmazibrucke,Dalmazibrucke,e3594371a27b,4694445,744571,26005385,11992621,5009,Hauptnetz,ewb,Strassenlampe,nein,2023-05-24,NA,1
79,Umland Belp,Umland Belp,e1ccbf0d3c96,4689942,751184,2605578,11942589,5131,Hauptnetz,Energie Belp,Stromleitungsmasten EVB52,nein,2023-05-09,NA,1
80,Elfenau Kreuzung Hofmeister- Matterstrasse (Wegli),Elfenau,db9e92f34b5f,4693558,74695,26023508,11982769,5448,Hauptnetz,ewb,Strassenlampe,nein,2023-05-10,NA,1
