Log_NR;NAME;Code_grafana;NORD_CHTOPO;OST_CHTOPO;LV_03_E;LV_03_N;Start
126;Optingenstrasse;5d922b8eddee;46.95597;7.45045;2600899.9;1200543.3;08.05.2023
127;Breitenrainplatz;58c0f9c55c8d;46.95838;7.45415;2601181.1;1200811.8;08.05.2023
128;Schosshaldenfriedhof;166584a41612;46.95342;7.47165;2602513.5;1200260.3;16.06.2023
129;Laupenstrasse;c1c63230dd69;46.94734;7.43639;2599829;1199583.8;12.05.2023
141;Viererfeld 2 (Schacht);2512f6b6f8a7;46.96271;7.43688;2599866.3;1201293.1;08.05.2023
142;Viererfeld 3 (Strasse Sud);34203a10c11a;46.96286;7.44009;2600111.1;1201309.4;11.05.2023
143;Viererfeld 4 (Strasse Nord);cb1330fd71b9;46.96523;7.44165;2600229.8;1201572.8;16.05.2023
144;Viererfeld 5 (Mittelfeld);a8386067f2e8;46.96178;7.43481;2599709.3;1201189.5;08.05.2023
151;Ostermundigen BaereTower;1422c91c94ef;46.95563;7.48114;2603235.7;1200506.4;11.05.2023
152;Ostermundigen Moosweg;71912f0c8afa;46.95813;7.48807;2603763;1200784.8;11.05.2023
153;Ostermundigen Wegmuhlegaessli;57542e9f73a9;46.95806;7.49371;2604192.2;1200777.3;11.05.2023
154;Ostermundigen Oberfeld;22164103ffc8;46.9581;7.49792;2604512.4;1200781.4;11.05.2023
155;Ostermundigen Milchstrasse;5d30f69ffcbf;46.96241;7.48201;2603301.6;1201260.5;11.05.2023
156;Ostermundigen Tiefenmoesli;d89267a081f7;46.94801;7.48411;2603462.3;1199659.8;11.05.2023
161;Ostermundigen Schermenweg;d3960c86f92a;46.95821;7.48052;2603188.1;1200793.3;11.05.2023
162;Ostermundigen Poststrasse;db897f1683fc;46.95867;7.48222;2603317.7;1200844.3;16.06.2023
xx;Spielplatz Untermatt;;46.94855;7.40002;2597060;1199719;
xx;Bremgartenwald tief;;46.9646;7.41178;2597956;1201503;
xx;Holligen;;46.94519;7.4168;2598338;1199345;
135;Optingenstrasse Süd;;46.95439;7.44938;2600818;1200367;21.03.2024
136;Optingenstrasse Nord;;46.95672;7.45081;2600927;1200627;21.03.2024
134;Vorplatz Baerenplatz;5e37031f7f2b;46.94823;7.45974;2601607;1199683;16.03.2024
