time,Log_402,Log_403,Log_404,Log_405,Log_406,Log_407,Log_408,Log_409,Log_410,Log_411,Log_412,Log_413,Log_414,Log_416,Log_417,Log_418,Log_420,Log_421,Log_422,Log_423,Log_424,Log_425,Log_426,Log_427,Log_428,Log_429,Log_430,Log_431,Log_432,Log_433,Log_434,Log_435,Log_436,Log_437,Log_438
2024-04-24T07:30:00.000000Z,NA,NA,NA,NA,5.458533607995726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-04-24T09:10:00.000000Z,NA,NA,NA,NA,6.564049744411385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-04-24T09:20:00.000000Z,NA,NA,NA,NA,6.489280537117573,NA,10.270466163118948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-04-24T09:30:00.000000Z,NA,NA,NA,NA,6.801709010452427,6.45723659113451,11.226443884946974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.609445334554053,NA,NA,6.969939726863508,NA,NA
2024-04-24T09:40:00.000000Z,NA,NA,NA,NA,6.90051117723354,6.425192645151448,10.078202487220572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.923247119859617,NA,NA,7.51201647974365,NA,NA
2024-04-24T09:50:00.000000Z,NA,NA,NA,NA,7.1995880064087885,6.9138628213931455,8.42259861142901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.170214389257652,7.170214389257652,NA,NA,7.274357213702601,NA,6.921873807888915
2024-04-24T10:00:00.000000Z,NA,NA,NA,NA,7.747005416952774,7.816433966582743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.734950789654384,7.231631952391851,NA,NA,6.812390325780115,NA,7.194247348744945
2024-04-24T10:10:00.000000Z,NA,NA,NA,NA,7.749675745784691,7.720302128633556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.885862516212711,7.650873579003587,NA,NA,7.485313191424431,NA,8.096818493934542
2024-04-24T10:20:00.000000Z,NA,8.590829327840083,NA,NA,7.714961470969712,8.035400930800336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.972686350804914,NA,NA,7.835126268406192,NA,8.633554589150833
2024-04-24T10:30:00.000000Z,NA,9.570840009155413,NA,NA,8.817807278553445,8.90058747234302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.410543984130619,8.617532616159302,NA,NA,7.509346150911725,NA,7.965972381170367
2024-04-24T10:40:00.000000Z,NA,8.793774319066145,NA,NA,8.321126115815979,9.351873044937818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.705653467612727,NA,NA,8.751049057755395,NA,8.788433661402301
2024-04-24T10:50:00.000000Z,NA,8.932631418326082,NA,NA,8.855191882200351,9.720378423743036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.962005035477226,NA,NA,8.692301823453114,NA,8.841840238040739
2024-04-24T11:00:00.000000Z,NA,8.102159151598386,NA,NA,9.330510414282443,10.751125352864882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.179674982833603,NA,NA,8.54276340886549,NA,9.423971923399712
2024-04-24T11:10:00.000000Z,NA,9.458686198214693,NA,NA,8.975356679636832,10.126268406195166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.012741283283743,10.195696955825134,NA,NA,9.365224689097433,NA,9.058136873426411
2024-04-24T11:20:00.000000Z,NA,9.642938887617303,NA,NA,8.855191882200351,9.19699397268635,11.744487678339816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.20241092545968,NA,NA,10.310521095597773,NA,9.4960708018616
