Log_NR;STANDORT;STANDORT_NEU;Code_grafana;Latitude;Longitude;LV_03_E;LV_03_N;HuM;Art;ZUSTAENDIG;BEFESTIGUNG;Doppel_Messnetz_23;Start;End;Quali;New
37;Lorraine, Steckweg 15;Lorraine;8ba39c865b00;46.95898;7.44513;2660494.4;120887.6;538.1;Hauptnetz;ewb;Strassenlampe;ja;08.05.2023;NA;1;NA
38;Spiegel;Spiegel;20b8a59ebf60;46.92607;7.43739;2599905.3;1197218.9;619.8;Hauptnetz;Gemeinde Koniz;Strassenlampe;nein;09.05.2023;NA;1;NA
39;Weyermannshaus Industrie;Weyermannshaus Industrie;444fdf760afa;46.949;7.40134;2597160.3;1199757.8;545.9;Hauptnetz;ewb;Strassenlampe;ja;12.05.2023;NA;1;NA
40;NA;Rathausgasse I: St. Peter & Paul Kirche;NA;46.94858;7.45193;2601012.336;1199721.84;NA;NA;NA;NA;NA;NA;NA;NA;NA
41;Monbijou-Park;Monbijou-Park;8032b80c5ec1;46.94187;7.43462;2599694.5;1198975.9;521.4;Hauptnetz;Stadtgrun;Kandelaber FaLLT 2022 AUS;nein;10.05.2023;NA;1;NA
42;Gerechtigkeitsgasse 55;Gerechtigkeitsgasse;3299bbe93670;46.9481;7.45351;2601132.3;1199668.8;532.1;Hauptnetz;TAB;Verkehrsschild;nein;12.05.2023;NA;1;NA
45;Zytglogge;Zytglogge;c454534c7d32;46.94819;7.4474;2600667.7;1199678.8;539.8;Hauptnetz;BERNMOBIL;Fahrplananzeigemasten;ja;16.03.2024;NA;1;NA
46;NA;Autobahnausfahrt Wankdorf;NA;46.96717;7.46968;2602362.841;1201788.872;NA;NA;NA;NA;NA;NA;NA;NA;NA
47;NA;Waisenhausplatz III (Mitte): Neben Brunnen;NA;46.94984;7.44418;2600422.324;1199861.851;NA;NA;NA;NA;NA;NA;NA;NA;NA
48;Viererfeld;Viererfeld 1 (Sportplatz);75a4a50dfb2c;46.96512;7.43823;2599969.6;1201560.1;573.2;Hauptnetz;Sportplatz Viererfeld;Scheinwerfermasten;nein;16.05.2023;NA;1;NA
50;NA;Kreuzung Familienspaziergang / Laubeggstrasse;NA;46.94644;7.46833;2602260.947;1199484.262;NA;NA;NA;NA;NA;NA;NA;NA;NA
51;Bumpliz Stockacker;Bumpliz Stockacker;db1aaeaf755a;46.94302;7.39587;2596744.4;1199104.6;556.6;Hauptnetz;ewb;Laterne;ja;12.05.2023;NA;1;NA
52;Umland Bumpliz;Umland Bumpliz;1422c91c94ef;46.93354;7.36084;2594500.2;1198052.9;573.8;Hauptnetz;ewb;Stromleitungsmasten EWB40;ja;08.05.2023;NA;1;NA
53;Breitenrain, Waffenweg;Waffenweg;459a084688df;46.96173;7.45192;2601011.1;1201183.8;554.9;Hauptnetz;TAB;Verkehrsschild 2m85;nein;08.05.2023;NA;1;NA
54;NA;Waisenhausplatz IV (Pocketpark): vor Starbucks;NA;46.94879;7.44376;2600390.356;1199745.12;NA;NA;NA;NA;NA;NA;NA;NA;NA
55;Bollwerk (Strasseninsel);Bollwerk;36c36d0cf6fd;46.95151;7.44082;2600166.32;1200047.33;534.5;Hauptnetz;TAB;Ampel;nein;08.05.2023;NA;1;NA
57;Eigerplatz;Eigerplatz;ac6956757b85;46.94067;7.43141;2599450.3;1198842.4;526.1;Hauptnetz;BERNMOBIL;Masten;ja;10.05.2023;NA;1;NA
58;Murifeld;Murifeld;e96f9159cdca;46.93919;7.47992;2603143.9;1198678.2;553;Hauptnetz;ewb;Lampe;ja;10.05.2023;NA;1;NA
59;Schlossmatte Familiengarten;Schlossmatte Familiengarten;0e93f9aa1539;46.94211;7.41688;2598344.1;1199002.6;548.4;Hauptnetz;Stadtgrun;Fahnenmasten;ja;12.05.2023;NA;1;NA
60;NA;Roschistrasse;NA;46.93508;7.43887;2600018.07;1198220.963;NA;NA;NA;NA;NA;NA;NA;NA;NA
61;Westside Center;Westside Center;1b0dc4db66c0;46.94555;7.37478;2595139;1199387.4;554.2;Hauptnetz;ewb;Parklaterne;nein;12.05.2023;NA;1;NA
62;Felsenhaldenweg;Felsenhaldenweg;6cf62e6cfad9;46.97417;7.44122;2600197.2;1202567;492.5;Hauptnetz;ewb;Strassenlampe;nein;09.05.2023;NA;1;NA
63;NA;Wylergut, Jaunweg 11;NA;46.96766;7.44922;2600805.764;1201842.951;NA;NA;NA;NA;NA;NA;NA;NA;NA
65;Umland Bolligen;Umland Bolligen;4eb78fa39636;46.96681;7.50376;2604956.8;1201749.9;557.1;Hauptnetz;BKW;Stromleitungsmasten BKW FMB94;nein;11.05.2023;NA;1;NA
68;NA;Gleisfeld Welle;NA;46.94832;7.43365;2599620.686;1199692.878;NA;NA;NA;NA;NA;NA;NA;NA;NA
69;Eisenbahnquartier;Eisenbahnquartier;15c44cc1729a;46.93716;7.42317;2598822.7;1198452.8;561.1;Hauptnetz;ewb;Strassenlampe;nein;09.05.2023;NA;1;NA
70;Bundesplatz;Bundesplatz;44dd6ed61b66;46.94692;7.44353;2600373.1;1199537.1;542.6;Hauptnetz;TAB;Verkehrsschild;nein;12.05.2023;NA;1;NA
71;Hirschengraben;Hirschengraben;83b8067d27a2;46.94658;7.43786;2599941.2;1199499.8;540.3;Hauptnetz;ewb;Laternenpfosten;ja;12.05.2023;NA;1;NA
73;Obstberg, Wattenwylweg 32;Obstberg;64520be86594;46.94714;7.46407;2601936.8;1199561.8;561.8;Hauptnetz;ewb;Strassenlampe;nein;10.05.2023;NA;1;NA
74;NA;Waisenhausplatz II (Westseite): vor Rest. Luce;NA;46.94917;7.44437;2600436.792;1199787.368;NA;NA;NA;NA;NA;NA;NA;NA;NA
76;Wabern, Viktoriastrasse 9;Wabern Viktoriastrasse;cbb89f9d130c;46.93122;7.45326;2601114;1197791.9;533.6;Hauptnetz;Gemeinde Koniz;Strassenlampe (Gmd Koniz 119);ja;24.05.2023;NA;1;NA
77;NA;Viererfeld Wald;NA;46.96406;7.43582;2599785.972;1201442.697;NA;NA;NA;NA;NA;NA;NA;NA;NA
78;Dalmazibrucke;Dalmazibrucke;e3594371a27b;46.94445;7.44571;2600538.5;1199262.1;500.9;Hauptnetz;ewb;Strassenlampe;nein;24.05.2023;NA;1;NA
79;Umland Belp;Umland Belp;e1ccbf0d3c96;46.89942;7.51184;2605578;1194258.9;513.1;Hauptnetz;Energie Belp;Stromleitungsmasten EVB52;nein;09.05.2023;NA;1;NA
