Log_NR;Location;Latitude;Longitude;Code_grafana;LV_03_E;LV_03_N;HuM;Art;ZUSTAENDIG;BEFESTIGUNG;Doppel_Messnetz_23;Start;End;Quali
45;Zytglogge;46.94819;7.4474;c454534c7d32;2600667.7;1199678.8;539.8;Hauptnetz;BERNMOBIL;Fahrplananzeigemasten;ja;16.03.24;NA;1
46;Autobahnausfahrt Wankdorf;46.96717;7.46968;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
47;Waisenhausplatz III (Mitte): Neben Brunnen;46.94984;7.44418;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
48;Viererfeld 1 (Sportplatz);46.96512;7.43823;75a4a50dfb2c;2599969.6;1201560.1;573.2;Hauptnetz;Sportplatz Viererfeld;Scheinwerfermasten;nein;16.05.23;NA;1
50;Kreuzung Familienspaziergang / Laubeggstrasse;46.94644;7.46833;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
51;Bumpliz Stockacker;46.94302;7.39587;db1aaeaf755a;2596744.4;1199104.6;556.6;Hauptnetz;ewb;Laterne;ja;12.05.23;NA;1
52;Umland Bumpliz;46.93354;7.36084;1422c91c94ef;2594500.2;1198052.9;573.8;Hauptnetz;ewb;Stromleitungsmasten EWB40;ja;08.05.23;NA;1
53;Waffenweg;46.96173;7.45192;459a084688df;2601011.1;1201183.8;554.9;Hauptnetz;TAB;Verkehrsschild 2m85;nein;08.05.23;NA;1
54;Waisenhausplatz IV (Pocketpark): vor Starbucks;46.94879;7.44376;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
55;Bollwerk;46.95151;7.44082;36c36d0cf6fd;2600166.32;1200047.33;534.5;Hauptnetz;TAB;Ampel;nein;08.05.23;NA;1
57;Eigerplatz;46.94067;7.43141;ac6956757b85;2599450.3;1198842.4;526.1;Hauptnetz;BERNMOBIL;Masten;ja;10.05.23;NA;1
58;Murifeld;46.93919;7.47992;e96f9159cdca;2603143.9;1198678.2;553;Hauptnetz;ewb;Lampe;ja;10.05.23;NA;1
59;Schlossmatte Familiengarten;46.94211;7.41688;0e93f9aa1539;2598344.1;1199002.6;548.4;Hauptnetz;Stadtgrun;Fahnenmasten;ja;12.05.23;NA;1
60;Roschistrasse;46.93508;7.43887;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
61;Westside Center;46.94555;7.37478;1b0dc4db66c0;2595139;1199387.4;554.2;Hauptnetz;ewb;Parklaterne;nein;12.05.23;NA;1
62;Felsenhaldenweg;46.97417;7.44122;6cf62e6cfad9;2600197.2;1202567;492.5;Hauptnetz;ewb;Strassenlampe;nein;09.05.23;NA;1
63;Wylergut, Jaunweg 11;46.96766;7.44922;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
65;Umland Bolligen;46.96681;7.50376;4eb78fa39636;2604956.8;1201749.9;557.1;Hauptnetz;BKW;Stromleitungsmasten BKW FMB94;nein;11.05.23;NA;1
68;Gleisfeld Welle;46.94832;7.43365;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
68;Gleisfeld Welle;46.94838;7.43359;noch nicht installiert;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
68;Gleisfeld Welle;46.94838;7.43359;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
69;Eisenbahnquartier;46.93716;7.42317;15c44cc1729a;2598822.7;1198452.8;561.1;Hauptnetz;ewb;Strassenlampe;nein;09.05.23;NA;1
70;Bundesplatz;46.94692;7.44353;44dd6ed61b66;2600373.1;1199537.1;542.6;Hauptnetz;TAB;Verkehrsschild;nein;12.05.23;NA;1
71;Hirschengraben;46.94658;7.43786;83b8067d27a2;2599941.2;1199499.8;540.3;Hauptnetz;ewb;Laternenpfosten;ja;12.05.23;NA;1
73;Obstberg;46.94714;7.46407;64520be86594;2601936.8;1199561.8;561.8;Hauptnetz;ewb;Strassenlampe;nein;10.05.23;NA;1
74;Waisenhausplatz II (Westseite): vor Rest. Luce;46.94917;7.44437;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
76;Wabern Viktoriastrasse;46.93122;7.45326;cbb89f9d130c;2601114;1197791.9;533.6;Hauptnetz;Gemeinde Koniz;Strassenlampe (Gmd Koniz 119);ja;24.05.23;NA;1
77;Viererfeld Wald;46.96406;7.43582;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
78;Dalmazibrucke;46.94445;7.44571;e3594371a27b;2600538.5;1199262.1;500.9;Hauptnetz;ewb;Strassenlampe;nein;24.05.23;NA;1
79;Umland Belp;46.89942;7.51184;e1ccbf0d3c96;2605578;1194258.9;513.1;Hauptnetz;Energie Belp;Stromleitungsmasten EVB52;nein;09.05.23;NA;1
80;Elfenau;46.93558;7.4695;db9e92f34b5f;2602350.8;1198276.9;544.8;Hauptnetz;ewb;Strassenlampe;nein;10.05.23;NA;1
82;Thunplatz;46.94059;7.45824;7c98b95fbc73;2601493.1;1198834.2;551.8;Hauptnetz;BERNMOBIL;Tramampel;nein;10.05.23;NA;1
83;Stadtlabor;46.96311;7.46257;d6e2769def35;2601821.5;1201337.7;554.5;Hauptnetz;AFU;Holzpflock;ja;08.05.23;NA;1
85;Ensingerstrasse 28;46.94244;7.46132;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
86;Ostermundigen Lotschenstrasse;46.95309;7.48719;0cebd74f5020;2603696;1200224.7;551.5;Hauptnetz;Gemeinde Ostermundigen;Strassenlampe;ja;11.05.23;NA;1
87;Engehalde Stauwehr;46.96546;7.44503;b60acb7fff9f;2600486.5;1201598.6;494.5;Hauptnetz;ewb;Wehr, am ubergang;nein;08.05.23;NA;1
89;Gurten Kulm;46.91833;7.43971;7462a9be23a4;2600082;1196359.1;848;Hauptnetz;ewb;Strassenlampe;nein;27.07.23;NA;1
98;Zollikofen 2m;46.99079;7.46407;20d1b9040ad9;2601935.4;1204414.8;552.9;Hauptnetz;MeteoSchweiz;Metallstange;ja;09.05.23;NA;1
99;Zollikofen 3m;46.99079;7.46407;135a449d34a1;2601935.4;1204414.8;552.9;Hauptnetz;MeteoSchweiz;Metallstange;ja;09.05.23;NA;1
101;Steinholzliwald;46.93514;7.42805;213cff7114f2;2599194.5;1198227.6;573.7;Hauptnetz;Burgergemeinde;Baum;nein;09.05.23;NA;1
102;Vordere Langgasse;46.95171;7.43714;2b71f57ca11c;2599886.1;1200069.3;561.6;Hauptnetz;ewb;Strassenlampe;ja;08.05.23;NA;1
110;Rosalia-Wenger Platz;46.96823;7.4639;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
111;Tellstrasse;46.96017;7.46146;68d17acb4c7c;2601737.6;1201010.4;556.1;Monitoring intern;BERNMOBIL;Masten;nein;10.05.23;NA;1
112;Ausserholligen Post;46.94755;7.40188;f9c2d2bbe84f;2597202.2;1199607.9;547.9;Monitoring intern;Post;Strassenlampe;nein;12.05.23;NA;1
113;Ausserholligen ewb;46.94542;7.40642;4f5e9a2b9675;2597547.3;1199371.3;547.6;Monitoring intern;ewb;Strassenlampe;nein;12.05.23;NA;1
114;Bachmatteli 1, Polizei;46.94019;7.39051;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
115;Bachmatteli 2;46.93996;7.39007;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
116;Ansermetplatz;46.94787;7.37708;061bc5815e5a;2595313.7;1199645;545.2;Hauptnetz;ewb;Strassenlampe;nein;12.05.23;NA;1
117;Koniztal;46.90961;7.44248;a474b0e06285;2600293.4;1195389.8;631;Hauptnetz;Bauer;Schild;nein;09.05.23;NA;1
118;Helvetiaplatz Monitoring;46.94359;7.44936;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
119;Rosalia-Wenger Platz Monitoring;46.96762;7.46401;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
121;Neben Brunnen;46.94984;7.44418;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
122;Vor Rest Luce;46.94917;7.44437;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
122;Waisenhausplatz II, vor Rest. Luce;46.94917;7.44437;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
123;Vor Starbucks;46.94879;7.44376;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
124;Barenplatz;46.94814;7.44366;995c5da790ca;2600382.9;1199672.9;542.1;Monitoring intern;TAB;Maritstange;nein;24.05.23;NA;1
125;Barenplatz, Schach;46.94734;7.44366;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
125;Barenplatz, Schachfeld;46.94734;7.44366;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
126;Optingenstrasse;46.95597;7.45045;5d922b8eddee;2600899.9;1200543.3;557.3;Monitoring intern;TAB;Verkehrsschild;nein;08.05.23;NA;1
127;Breitenrainplatz;46.95838;7.45415;58c0f9c55c8d;2601181.1;1200811.8;559.8;Monitoring intern;ewb;Strassenlampe;nein;08.05.23;NA;1
