Log_NR;Standort;Code_grafana;Latitude;Longitude;Start;End
117;Koniztal;a474b0e06285;46.90961;7.44248;09.05.2023;NA
117;Koniztal;37464e90ede9;46.90961;7.44248;09.05.2023;
124;Barenplatz;995c5da790ca;46.94814;7.44366;24.05.2023;NA
126;Optingenstrasse;5d922b8eddee;46.95597;7.45045;08.05.2023;NA
127;Breitenrainplatz;58c0f9c55c8d;46.95838;7.45415;08.05.2023;NA
128;Schosshaldenfriedhof;166584a41612;46.95342;7.47165;16.06.2023;01.05.2024
128;Schosshaldenfriedhof;75a4a50dfb2c;46.95342;7.47165;24.05.2023;16.06.2023
129;Laupenstrasse;c1c63230dd69;46.94734;7.43639;12.05.2023;NA
134;Vorplatz Baerenpark;5e37031f7f2b;46.94823;7.45974;16.03.2024;NA
135;Optingenstrasse Sud;cad06aabf023;46.95439;7.44938;21.03.2024;NA
136;Optingenstrasse Nord;f055cf494274;46.95672;7.45081;21.03.2024;NA
136;Optingenstrasse Nord;a3841c1842b4;46.95672;7.45081;21.03.2024;
141;Viererfeld 2 (Schacht);2512f6b6f8a7;46.96271;7.43688;08.05.2023;NA
142;Viererfeld 3 (Strasse Sud);34203a10c11a;46.96286;7.44009;11.05.2023;NA
143;Viererfeld 4 (Strasse Nord);cb1330fd71b9;46.96523;7.44165;16.05.2023;NA
144;Viererfeld 5 (Mittelfeld);a8386067f2e8;46.96178;7.43481;08.05.2023;NA
151;Ostermundigen BareTower;1422c91c94ef;46.95563;7.48114;11.05.2023;
152;Ostermundigen Moosweg;71912f0c8afa;46.95813;7.48807;11.05.2023;NA
153;Ostermundigen Wegmuhlegassli;57542e9f73a9;46.95806;7.49371;11.05.2023;NA
154;Ostermundigen Oberfeld;22164103ffc8;46.9581;7.49792;11.05.2023;NA
155;Ostermundigen Milchstrasse;5d30f69ffcbf;46.96241;7.48201;11.05.2023;NA
156;Ostermundigen Tiefenmosli;d89267a081f7;46.94801;7.48411;11.05.2023;NA
161;Ostermundigen Schermenweg;d3960c86f92a;46.95821;7.48052;11.05.2023;NA
162;Ostermundigen Poststrasse;db897f1683fc;46.95867;7.48222;16.06.2023;NA
162;Ostermundigen Poststrasse;b60acb7fff9f;46.95867;7.48222;11.05.2023;16.06.2023
171;Postgasse Nord;7b36c77aba0d;46.94886;7.4542;21.03.2024;NA
173;Postgasse West;a6d098900d78;46.94871;7.45341;21.03.2024;NA
174;Postgasse Sued;f31e2d9d37ba;46.94886;7.45466;21.03.2024;NA
