"","Log_NR","STANDORT","NORD_CHTOPO","OST_CHTOPO","Code_grafana","LV_03_E","LV_03_N","HuM","Art","ZUSTAENDIG","BEFESTIGUNG","Doppel_Messnetz_23","Start","End","Quali"
"38",61,"Westside Center",4694555,737478,"1b0dc4db66c0",2595139,11993874,5542,"Hauptnetz","ewb","Parklaterne","nein","12.05.23",NA,1
"39",62,"Felsenhaldenweg",4697417,744122,"6cf62e6cfad9",26001972,1202567,4925,"Hauptnetz","ewb","Strassenlampe","nein","09.05.23",NA,1
"40",65,"Umland Bolligen",4696681,750376,"4eb78fa39636",26049568,12017499,5571,"Hauptnetz","BKW","Stromleitungsmasten BKW FMB94","nein","11.05.23",NA,1
"41",69,"Eisenbahnquartier",4693716,742317,"15c44cc1729a",25988227,11984528,5611,"Hauptnetz","ewb","Strassenlampe","nein","09.05.23",NA,1
"42",70,"Bundesplatz",4694692,744353,"44dd6ed61b66",26003731,11995371,5426,"Hauptnetz","TAB","Verkehrsschild","nein","12.05.23",NA,1
"43",71,"Hirschengraben",4694658,743786,"83b8067d27a2",25999412,11994998,5403,"Hauptnetz","ewb","Laternenpfosten","ja","12.05.23",NA,1
"44",73,"Obstberg",4694714,746407,"64520be86594",26019368,11995618,5618,"Hauptnetz","ewb","Strassenlampe","nein","10.05.23",NA,1
"45",76,"Wabern Viktoriastrasse",4693122,745326,"cbb89f9d130c",2601114,11977919,5336,"Hauptnetz","Gemeinde Koniz","Strassenlampe (Gmd Koniz 119)","ja","24.05.23",NA,1
"46",78,"Dalmazibrucke",4694445,744571,"e3594371a27b",26005385,11992621,5009,"Hauptnetz","ewb","Strassenlampe","nein","24.05.23",NA,1
"47",79,"Umland Belp",4689942,751184,"e1ccbf0d3c96",2605578,11942589,5131,"Hauptnetz","Energie Belp","Stromleitungsmasten EVB52","nein","09.05.23",NA,1
"48",80,"Elfenau",4693558,74695,"db9e92f34b5f",26023508,11982769,5448,"Hauptnetz","ewb","Strassenlampe","nein","10.05.23",NA,1
"49",82,"Thunplatz",4694059,745824,"7c98b95fbc73",26014931,11988342,5518,"Hauptnetz","BERNMOBIL","Tramampel","nein","10.05.23",NA,1
"50",83,"Stadtlabor",4696311,746257,"d6e2769def35",26018215,12013377,5545,"Hauptnetz","AFU","Holzpflock","ja","08.05.23",NA,1
"51",86,"Ostermundigen Lotschenstrasse",4695309,748719,"0cebd74f5020",2603696,12002247,5515,"Hauptnetz","Gemeinde Ostermundigen","Strassenlampe","ja","11.05.23",NA,1
