Log_NR,STANDORT,STANDORT_NEU,Code_grafana,NORD_CHTOPO,OST_CHTOPO,LV_03_N,LV_03_E,HuM,Art,ZUSTAENDIG,BEFESTIGUNG,Doppel_Messnetz_23,Start,End,Quali
116,Ansermetplatz,Ansermetplatz,061bc5815e5a,46.94787,73.7708,2595313.7,119964.5,545.2,Hauptnetz,ewb,Strassenlampe,nein,5/12/23,NA,1
117,Koniztal,Koniztal,37464e90ede9,46.90961,74.4248,2600293.4,1195389.8,63.1,Hauptnetz,Bauer,Schild,nein,5/9/23,NA,1
124,Barenplatz,Barenplatz,995c5da790ca,46.94814,74.4366,2600382.9,1199672.9,542.1,Monitoring intern,TAB,Maritstange,nein,5/24/23,NA,1
126,Optingenstrasse,Optingenstrasse,5d922b8eddee,46.95597,74.5045,2600899.9,1200543.3,557.3,Monitoring intern,TAB,Verkehrsschild,nein,5/8/23,NA,1
127,Breitenrainplatz,Breitenrainplatz,58c0f9c55c8d,46.95838,74.5415,2601181.1,1200811.8,559.8,Monitoring intern,ewb,Strassenlampe,nein,5/8/23,NA,1
128,Schosshaldenfriedhof,Schosshaldenfriedhof,166584a41612,46.95342,74.7165,2602513.5,1200260.3,568.1,Monitoring intern,Stadtgrun,Mobile Stange,nein,6/16/23,NA,1
129,Laupenstrasse (ZBB),Laupenstrasse,c1c63230dd69,46.94734,74.3639,259982.9,1199583.8,540.6,Monitoring intern,BERNMOBIL,Fahrplananzeigemasten,nein,5/12/23,NA,1
141,Viererfeld 2 (Schacht),Viererfeld 2 (Schacht),2512f6b6f8a7,46.96271,74.3688,2599866.3,1201293.1,571.1,Monitoring extern,eawag (?),Stange,nein,5/8/23,NA,1
142,Viererfeld 3 (Strasse Sud),Viererfeld 3 (Strasse Sud),34203a10c11a,46.96286,74.4009,2600111.1,1201309.4,564.2,Monitoring extern,ewb,Kandelaber,nein,5/11/23,NA,1
143,Viererfeld 4 (Strasse Nord),Viererfeld 4 (Strasse Nord),cb1330fd71b9,46.96523,74.4165,2600229.8,1201572.8,567.5,Monitoring extern,ewb,Kandelaber,nein,5/16/23,NA,1
144,Viererfeld 5 (Mittelfeld),Viererfeld 5 (Mittelfeld),a8386067f2e8,46.96178,74.3481,2599709.3,1201189.5,573.6,Monitoring extern,Urban Climate Bern,Eigene Stange,nein,5/8/23,NA,1
151,Ostermundigen BareTower,Ostermundigen BareTower,1422c91c94ef,46.95563,74.8114,2603235.7,1200506.4,554.8,Hauptnetz Ostermundigen,Gemeinde Ostermundigen,Strassenlampe,nein,5/11/23,NA,1
152,Ostermundigen Moosweg,Ostermundigen Moosweg,71912f0c8afa,46.95813,74.8807,260376.3,1200784.8,55.2,Hauptnetz Ostermundigen,Gemeinde Ostermundigen,Strassenlampe,nein,5/11/23,NA,1
153,Ostermundigen Wegmuhlegassli,Ostermundigen Wegmuhlegassli,57542e9f73a9,46.95806,74.9371,2604192.2,1200777.3,548.3,Hauptnetz Ostermundigen,Gemeinde Ostermundigen,Strassenlampe,nein,5/11/23,NA,1
154,Ostermundigen Oberfeld,Ostermundigen Oberfeld,22164103ffc8,46.9581,74.9792,2604512.4,1200781.4,567.4,Hauptnetz Ostermundigen,Gemeinde Ostermundigen,Strassenlampe,nein,5/11/23,NA,1
155,Ostermundigen Milchstrasse,Ostermundigen Milchstrasse,5d30f69ffcbf,46.96241,74.8201,2603301.6,1201260.5,550.5,Hauptnetz Ostermundigen,Gemeinde Ostermundigen,Strassenlampe,nein,5/11/23,NA,1
156,Ostermundigen Tiefenmosli,Ostermundigen Tiefenmosli,d89267a081f7,46.94801,74.8411,2603462.3,1199659.8,552.2,Monitoring Ostermundigen,Gemeinde Ostermundigen,Strassenlampe,nein,5/11/23,NA,1
161,Ostermundigen Schermenweg,Ostermundigen Schermenweg,d3960c86f92a,46.95821,74.8052,2603188.1,1200793.3,551.8,Monitoring Ostermundigen,Gemeinde Ostermundigen,Strassenlampe,nein,5/11/23,NA,1
162,Ostermundigen Postgasse,Ostermundigen Poststrasse,db897f1683fc,46.95867,74.8222,2603317.7,1200844.3,551.5,Hauptnetz Ostermundigen,Gemeinde Ostermundigen,Strassenlampe,nein,6/16/23,NA,1
8,Wankdorf ESP,Wankdorf ESP,7637b479bc79,46.968,74.6247,2601814.2,1201881.4,550.5,Hauptnetz,ewb,Strassenlampe,nein,5/8/23,6/1/23,1
8,Wankdorf ESP,Wankdorf ESP,cad06aabf023,46.968,74.6247,2601814.2,1201881.4,550.5,Hauptnetz,ewb,Strassenlampe,nein,6/1/23,6/6/23,1
10,"Langgasse, Neufeldstrasse 135",Hintere Langgasse,1564ef396f0f,46.95789,74.3541,2599754.9,2007567.2,558.5,Hauptnetz,ewb,Strassenlampe,nein,5/9/23,5/24/23,1
14,Helvetiaplatz,Helvetiaplatz,db897f1683fc,46.94381,74.4885,2600777.8,1199191.1,530.8,Hauptnetz,TAB,Verkehrsschild,ja,5/10/23,6/1/23,1
16,Bubenbergplatz,Bubenbergplatz,017e3348dd62,46.94728,74.3843,2599984.7,1199577.3,542.5,Hauptnetz,BERNMOBIL,Masten,nein,5/10/23,6/16/23,0
76,"Wabern, Viktoriastrasse 9",Wabern Viktoriastrasse,a6d098900d78,46.93122,74.5326,260111.4,1197791.9,533.6,Hauptnetz,Gemeinde Koniz,Strassenlampe (Gmd Koniz 119),ja,5/9/23,5/24/23,0
89,Gurten Kulm,Gurten Kulm,2e15ffacceab,46.91833,74.3971,260008.2,1196359.1,84.8,Hauptnetz,ewb,Strassenlampe,nein,5/17/23,7/27/23,1
128,Schosshaldenfriedhof,Schosshaldenfriedhof,75a4a50dfb2c,46.95342,74.7165,2602513.5,1200260.3,568.1,Monitoring intern,Stadtgrun,Mobile Stange,nein,5/24/23,6/16/23,1
162,Ostermundigen Postgasse,Ostermundigen Poststrasse,b60acb7fff9f,46.95867,74.8222,2603317.7,1200844.3,551.5,Hauptnetz Ostermundigen,Gemeinde Ostermundigen,Strassenlampe,nein,5/11/23,6/16/23,1
